,paperID,authorName
204,50," Hilliard, R"
205,51,"Galster, Matthias"
206,51,"Avgeriou, Paris"
207,52,"Su, Guoxin"
208,52,"Ying, Mingsheng"
209,52," Zhang, Chengqi"
210,53,Guoxin S
211,53,Mingsheng Ying
212,53,Chengqi Zhang
213,54,"Zhang, Geng"
214,54," Shao, Zhi Gang"
215,54,"Lu, Wangting"
216,54," Xie, Feng"
217,54," Xiao, Hui"
218,54," Qin, Xiaoping"
219,54,"Yi, Baolian"
220,55,"Garsuch, Arnd"
221,55,"Stevens, D A"
222,55," Sanderson, R J"
223,55," Wang, S"
224,55," Atanasoski, R T"
225,55," Hendricks, S"
226,55," Debe, M K"
227,55," Dahn, J R"
228,56,"Chen, Xiaohua"
229,56,"Xie, Jingsi"
230,56,"Hu, Jianqiang"
231,56,"Feng, Xiumei"
232,56,"Li, Aiqing"
233,57,"Yang, Minghui"
234,57,"Guarecuco, Rohiverth"
235,57,"Disalvo, Francis J"
236,58,"Diaz Pace, J A"
237,58," Campo, M R"
238,59,"D az Pace, J"
239,59,Andr s
240,59," Campo, Marcelo R"
241,60,"Khan, Muhammad Umair Ahmed"
242,60,"Zulkernine, Mohammad"
243,61,"Gomaa, Hassan"
244,61,"Hussein, Mohamed"
245,62,"Gomaa, H"
246,62," Hussein, M"
247,63,"Angelov, Samuil"
248,63,"Grefen, Paul"
249,63,"Greefhorst, Danny"
250,64,"Angelov, Samuil"
251,64,"Grefen, Paul"
252,64,"Greefhorst, Danny"
253,65,"Angelov, Samuil"
254,65,"Grefen, Paul"
255,65,"Greefhorst, Danny"
256,66,"Razavizadeh, Azadeh"
257,66,"Verjus, Herve"
258,66,"C mpan, Sorana"
259,66,"Ducasse, St phane"
260,67,"Razavizadeh, Azadeh"
261,67,"Verjus, Herve"
262,67,"C mpan, Sorana"
263,67,"Ducasse, St phane"
264,68,"Razavizadeh, Azadeh"
265,68,"Verjus, Herve"
266,68,"C mpan, Sorana"
267,68,"Ducasse, St phane"
268,69,"Etcheber, Henri"
269,69,"Taillez, Aur lien"
270,69,"Abril, Gwena l"
271,69,"Garnier, Josette"
272,69,"Servais, Pierre"
273,69,"Moatar, Florentina"
274,69,"Commarieu, Marc Vincent"
275,70,"Etcheber, Henri"
276,70,"Taillez, Aur lien"
277,70,"Abril, Gwena l"
278,70,"Garnier, Josette"
279,70,"Servais, Pierre"
280,70,"Moatar, Florentina"
281,70,"Commarieu, Marc Vincent"
282,71,"Silva, Eduardo"
283,71,"Cavalcante, Everton"
284,71," Batista, Thais"
285,71,"Oquendo, Flavio"
286,71,"Delicato, Flavia C"
287,71," Pires, Paulo F"
288,72,"Malakuti, Somayeh"
289,73,"Du, X T"
290,73," Yang, Y"
291,73," Liu, J"
292,73," Liu, B"
293,73," Liu, J B"
294,73," Zhong, C"
295,73," Hu, W B"
296,74,"Admodisastro, Novia"
297,74,"Kotonya, Gerald"
298,75,"Makki, Majid"
299,75,"Bagheri, Ebrahim"
300,75,"Ghorbani, Ali A"
301,76,"Gamez, Nadia"
302,76,"Fuentes, Lidia"
303,76,"Arag ez, Miguel A"
304,77,"Fuentes, Lidia"
305,77,"G mez, Nadia"
306,77,"Pinto, M nica"
307,77,"Valenzuela, Juan A"
308,78,"Fuentes, Lidia"
309,78,"G mez, Nadia"
310,78,"Pinto, M nica"
311,78,"Valenzuela, Juan A"
312,79,"Fuentes, L"
313,79," Gamez, N"
314,79," Pinto, M"
315,79," Valenzuela, J A"
316,80,"Fuentes, L"
317,80," Gamez, N"
318,80," Pinto, M"
319,80," Valenzuela, J A"
320,81,"Nagai, T"
321,81," Murata, H"
322,81," Morimoto, Y"
323,82,"K ster, Martin"
324,83,"Roy, Kaushik"
325,83,"Kamel, Mohamed S"
326,84,"Smiley, Karen"
327,84,"Mahate, Shakeel"
328,84,"Wood, Paul"
329,85,"Falkner, Katrina"
330,85,"Balasubramaniam, Dharini"
331,85,"Detmold, Henry"
332,85,"Munro, David S"
333,86,"Falkner, Katrina"
334,86,"Balasubramaniam, Dharini"
335,86,"Detmold, Henry"
336,86,"Munro, David S"
337,87,"Falkner, K"
338,87," Balasubramaniam, D"
339,87," Detmold, H"
340,87," Munro, D S"
341,88,"Falkner, K"
342,88," Balasubramaniam, D"
343,88," Detmold, H"
344,88," Munro, D S"
345,89,"Durdik, Zoya"
346,90,"Babar, Muhammad Ali"
347,91,"Babar, Muhammad Ali"
348,92,"Babar, Muhammad Ali"
349,93,"Poort, Eltjo R"
350,93," Key, Andrew"
351,93,"De With, Peter H N"
352,93," Van Vliet, Hans"
353,94,"Poort, Eltjo R"
354,94," Key, Andrew"
355,94,"De With, Peter H N"
356,94," Van Vliet, Hans"
357,95,Dongshuang W
358,95,Zhaoliang Zheng
359,95,Shuiying Gao
360,95,"Cao, M"
361,95, Rong Cao
362,96,"Yin, Min"
363,96," Xu, Junyuan"
364,96," Li, Qingfeng"
365,96,"Jensen, Jens Oluf"
366,96,"Huang, Yunjie"
367,96,"Cleemann, Lars N"
368,96," Bjerrum, Niels J"
369,96," Xing, Wei"
370,97,"Seele, Wilbert"
371,97,"Syed, Shaheen"
372,97,"Brinkkemper, Sjaak"
373,98,"Brinkkemper, Sjaak"
374,98,"Pachidi, Stella"
375,99,"Konersmann, Marco"
376,99,"Durdik, Zoya"
377,99,"Goedicke, Michael"
378,99,"Reussner, Ralf H"
379,100,"Razavian, Maryam"
380,100,"Lago, Patricia"
381,101,"Razavian, Maryam"
382,101,"Lago, Patricia"
383,102,"M ller, Marco"
384,102,"Kersten, Benjamin"
385,102,"Goedicke, Michael"
386,103,"Farenhorst, Rik"
387,103,"Hoorn, Johan F"
388,103," Lago, Patricia"
389,103,"Van Vliet, Hans"
390,104,"L pez Sanz, Marcos"
391,104,"Acu a, C sar J"
392,104," Cuesta, Carlos E"
393,104," Marcos, Esperanza"
394,105,"Rausch, Andreas"
395,105,"Reussner, Ralf"
